,season,team,player,nation,pos,age,mp,starts,minutes,ninetys,gls,ast,npg,xg,npxg,xa,np_xgoal_contrib,sh,sot,dist,fk,pkscored,pkatt,tkl,tklw,tklvsdrb,attvsdrb,press,succ,blocks,inter,err,pass_cmp,pass_att,pass_totdist,pass_prgdist,sca,sca_passlive,sca_passdead,sca_drib,sca_sh,sca_fld,sca_def,gca,gca_passlive,gca_passdead,gca_drib,gca_sh,gca_fld,gca_def,touches,touches_defthird,touches_attthird,touches_attpen,carries,carries_totdist,carries_prgdist,progcarries,progpassrec,crdy,crdr,twocrdy,fls,fld,off,recov,arlwon,arllost,player_team
191,2022_2023,Wolverhampton Wanderers,Rayan Aït Nouri,fr FRA,DF,21,5,4,371.0,4.1,0.0,0.0,0.0,0.1,0.1,0.6,0.8,3,2,12.6,0,0,0,12,6,3,5,75,27,5,7,0,197,236,3379,1300,8,7,0,1,0,0,0,0,0,0,0,0,0,0,295,88,107,13,197,762,482,30,15,1,0,0,6,3,0,24,6,9,"Rayan_Aït_Nouri_['W_o_l_v_e_r_h_a_m_p_t_o_n_', '_W_a_n_d_e_r_e_r_s']"
192,2022_2023,Wolverhampton Wanderers,Matheus Nunes,pt POR,MF,24,4,4,344.0,3.8,0.0,1.0,0.0,0.5,0.5,0.4,0.8,8,1,16.6,0,0,0,6,5,0,3,74,23,3,3,0,117,149,2365,444,10,9,0,0,1,0,0,1,1,0,0,0,0,0,206,35,103,12,139,859,492,17,31,0,0,0,8,6,0,24,7,5,"Matheus_Nunes_['W_o_l_v_e_r_h_a_m_p_t_o_n_', '_W_a_n_d_e_r_e_r_s']"
193,2022_2023,Wolverhampton Wanderers,Daniel Podence,pt POR,"MF,FW",26,6,4,343.0,3.8,2.0,0.0,2.0,1.1,1.1,0.8,1.9,7,2,14.6,0,0,0,2,2,1,1,37,13,2,0,0,92,143,1623,523,13,13,0,0,0,0,0,0,0,0,0,0,0,0,181,16,97,9,130,524,280,14,21,1,0,0,8,7,0,30,0,3,"Daniel_Podence_['W_o_l_v_e_r_h_a_m_p_t_o_n_', '_W_a_n_d_e_r_e_r_s']"
194,2022_2023,Wolverhampton Wanderers,João Moutinho,pt POR,MF,35,4,4,326.0,3.6,0.0,0.0,0.0,0.2,0.2,0.2,0.4,3,0,18.7,1,0,0,11,6,5,12,59,20,4,4,0,163,192,3465,763,15,11,3,0,0,0,1,0,0,0,0,0,0,0,217,43,78,2,136,609,366,23,2,1,0,0,7,3,0,24,2,5,"João_Moutinho_['W_o_l_v_e_r_h_a_m_p_t_o_n_', '_W_a_n_d_e_r_e_r_s']"
195,2022_2023,Wolverhampton Wanderers,Gonçalo Guedes,pt POR,"FW,MF",25,5,3,314.0,3.5,0.0,1.0,0.0,0.3,0.3,0.4,0.6,8,2,20.6,0,0,0,3,3,0,2,37,11,2,2,0,65,84,1114,269,12,5,1,2,1,3,0,1,1,0,0,0,0,0,125,13,69,10,94,641,389,16,19,1,0,0,5,12,2,16,3,6,"Gonçalo_Guedes_['W_o_l_v_e_r_h_a_m_p_t_o_n_', '_W_a_n_d_e_r_e_r_s']"
196,2022_2023,Wolverhampton Wanderers,Leander Dendoncker,be BEL,MF,27,4,2,214.0,2.4,0.0,0.0,0.0,0.3,0.3,0.0,0.4,3,2,16.5,0,0,0,4,4,3,6,25,8,4,8,0,83,95,1624,281,4,4,0,0,0,0,0,0,0,0,0,0,0,0,117,36,18,6,68,257,102,4,2,0,0,0,0,1,0,17,2,4,"Leander_Dendoncker_['W_o_l_v_e_r_h_a_m_p_t_o_n_', '_W_a_n_d_e_r_e_r_s']"
197,2022_2023,Wolverhampton Wanderers,Raúl Jiménez,mx MEX,FW,31,3,2,212.0,2.4,0.0,0.0,0.0,0.8,0.8,0.6,1.4,7,3,11.6,0,0,0,0,0,0,1,29,6,5,0,0,29,33,437,87,5,5,0,0,0,0,0,0,0,0,0,0,0,0,64,7,38,16,26,153,103,5,18,0,0,0,2,3,4,6,8,5,"Raúl_Jiménez_['W_o_l_v_e_r_h_a_m_p_t_o_n_', '_W_a_n_d_e_r_e_r_s']"
198,2022_2023,Wolverhampton Wanderers,Nélson Semedo,pt POR,DF,28,4,2,182.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1,0,23.3,0,0,0,10,5,5,6,18,9,6,3,0,75,91,1326,367,4,3,0,0,1,0,0,0,0,0,0,0,0,0,133,41,49,2,74,475,271,9,10,1,0,0,1,4,0,17,2,1,"Nélson_Semedo_['W_o_l_v_e_r_h_a_m_p_t_o_n_', '_W_a_n_d_e_r_e_r_s']"
199,2022_2023,Wolverhampton Wanderers,Morgan Gibbs-White,eng ENG,FW,22,2,2,180.0,2.0,0.0,0.0,0.0,0.6,0.6,0.1,0.7,3,1,11.7,0,0,0,3,1,1,2,25,7,4,1,0,76,97,1328,417,3,1,1,1,0,0,0,0,0,0,0,0,0,0,122,17,50,4,81,419,239,11,10,1,0,0,3,5,0,19,2,7,"Morgan_Gibbs-White_['W_o_l_v_e_r_h_a_m_p_t_o_n_', '_W_a_n_d_e_r_e_r_s']"
200,2022_2023,Wolverhampton Wanderers,Hwang Hee-chan,kr KOR,FW,26,5,2,167.0,1.9,0.0,1.0,0.0,0.4,0.4,0.5,0.9,4,2,19.7,0,0,0,2,1,1,2,15,4,1,1,1,29,37,402,68,4,2,0,1,0,1,0,1,1,0,0,0,0,0,67,13,38,9,46,335,192,9,9,0,0,0,2,3,0,10,1,6,"Hwang_Hee-chan_['W_o_l_v_e_r_h_a_m_p_t_o_n_', '_W_a_n_d_e_r_e_r_s']"
201,2022_2023,Crystal Palace,Joachim Andersen,dk DEN,DF,26,6,6,540.0,6.0,1.0,0.0,1.0,0.5,0.5,0.6,1.1,2,1,7.7,0,0,0,11,4,5,7,42,17,11,10,0,269,337,7687,2584,4,4,0,0,0,0,0,0,0,0,0,0,0,0,434,291,17,6,222,1092,419,8,1,1,0,0,5,9,0,60,15,10,"Joachim_Andersen_['C_r_y_s_t_a_l_', '_P_a_l_a_c_e']"
202,2022_2023,Crystal Palace,Marc Guéhi,eng ENG,DF,22,6,6,540.0,6.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,2,1,8.0,0,0,0,6,4,3,6,37,12,14,7,0,284,324,6500,2020,4,3,0,0,1,0,0,0,0,0,0,0,0,0,382,243,11,3,229,993,591,6,1,1,0,0,3,5,0,60,12,8,"Marc_Guéhi_['C_r_y_s_t_a_l_', '_P_a_l_a_c_e']"
203,2022_2023,Crystal Palace,Cheick Doucouré,ml MLI,MF,22,6,6,512.0,5.7,0.0,1.0,0.0,0.2,0.2,0.8,1.0,7,1,25.6,0,0,0,20,17,4,11,74,27,10,16,0,205,235,4106,1034,11,8,0,0,1,0,2,1,1,0,0,0,0,0,301,101,48,4,175,925,448,21,3,1,0,0,5,4,0,42,2,5,"Cheick_Doucouré_['C_r_y_s_t_a_l_', '_P_a_l_a_c_e']"
204,2022_2023,Crystal Palace,Jeffrey Schlupp,gh GHA,MF,29,6,6,508.0,5.6,0.0,0.0,0.0,0.6,0.6,0.0,0.6,9,2,18.0,0,0,0,14,6,2,6,86,24,9,5,0,121,161,2255,487,6,3,0,1,1,1,0,1,1,0,0,0,0,0,221,57,61,9,137,513,236,13,14,1,0,0,11,8,0,49,6,5,"Jeffrey_Schlupp_['C_r_y_s_t_a_l_', '_P_a_l_a_c_e']"
205,2022_2023,Crystal Palace,Eberechi Eze,eng ENG,"MF,FW",24,6,6,478.0,5.3,0.0,2.0,0.0,0.7,0.7,0.9,1.6,6,2,20.0,1,0,0,6,4,1,4,69,22,7,8,0,156,197,2868,748,16,7,6,1,0,0,2,3,1,1,1,0,0,0,265,63,91,13,186,1003,635,24,15,0,0,0,1,11,1,32,4,9,"Eberechi_Eze_['C_r_y_s_t_a_l_', '_P_a_l_a_c_e']"
206,2022_2023,Crystal Palace,Joel Ward,eng ENG,DF,32,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,8,2,3,4,54,5,11,5,0,153,217,2913,1208,3,2,0,1,0,0,0,0,0,0,0,0,0,0,268,137,37,5,118,491,257,6,2,2,0,0,10,2,0,40,12,3,"Joel_Ward_['C_r_y_s_t_a_l_', '_P_a_l_a_c_e']"
207,2022_2023,Crystal Palace,Wilfried Zaha,ci CIV,"FW,MF",29,5,5,441.0,4.9,4.0,0.0,4.0,2.7,1.7,1.1,2.9,14,7,16.9,0,0,1,6,2,2,5,94,29,1,0,0,97,123,1369,286,14,10,0,3,1,0,0,2,1,0,0,1,0,0,216,21,107,33,183,818,560,34,40,1,0,0,8,17,3,32,1,8,"Wilfried_Zaha_['C_r_y_s_t_a_l_', '_P_a_l_a_c_e']"
208,2022_2023,Crystal Palace,Jordan Ayew,gh GHA,"FW,MF",30,6,5,399.0,4.4,0.0,0.0,0.0,0.5,0.5,0.4,0.9,4,3,16.7,0,0,0,14,11,4,10,128,33,7,4,0,83,103,1385,248,11,7,0,4,0,0,0,0,0,0,0,0,0,0,175,33,70,11,137,847,546,19,13,0,0,0,14,13,0,23,10,22,"Jordan_Ayew_['C_r_y_s_t_a_l_', '_P_a_l_a_c_e']"
209,2022_2023,Crystal Palace,Tyrick Mitchell,eng ENG,DF,23,6,5,387.0,4.3,0.0,1.0,0.0,0.0,0.0,0.3,0.3,0,0,,0,0,0,11,7,1,3,97,21,10,10,0,169,224,3047,1324,4,4,0,0,0,0,0,1,1,0,0,0,0,0,268,104,38,0,148,527,292,5,3,0,0,0,6,2,0,26,0,6,"Tyrick_Mitchell_['C_r_y_s_t_a_l_', '_P_a_l_a_c_e']"
